ID,AGE,JOB,MARITAL,EDUCATION,
11517,27,technician,single,secondary,
11518,32,management,single,tertiary,
11519,25,management,single,tertiary,
11520,56,admin.,divorced,primary,
11521,36,blue-collar,married,secondary,
11522,34,services,single,primary,
11523,42,management,married,tertiary,
11524,49,blue-collar,married,primary,
11525,39,blue-collar,married,primary,
11526,50,admin.,divorced,secondary,
11527,27,blue-collar,married,primary,
11528,27,student,single,secondary,
11529,41,technician,married,secondary,
11530,33,blue-collar,married,secondary,
11531,34,management,divorced,tertiary,
11532,30,technician,single,secondary,
11533,26,blue-collar,single,secondary,
11534,51,blue-collar,married,primary,
11535,31,technician,single,tertiary,
11536,51,technician,single,tertiary,
11537,29,admin.,single,tertiary,
11538,44,unemployed,married,secondary,
11539,28,blue-collar,married,secondary,
11540,46,admin.,married,primary,
11541,23,blue-collar,single,primary,
11542,32,technician,single,tertiary,
11543,31,admin.,single,secondary,
11544,33,management,married,tertiary,
11545,35,management,married,unknown,
11546,36,technician,single,secondary,
11547,57,admin.,divorced,secondary,
11548,36,services,married,secondary,
11549,41,technician,married,unknown,
11550,41,admin.,single,secondary,
11551,45,technician,married,secondary,
11552,48,blue-collar,single,primary,
11553,29,services,single,secondary,
11554,45,management,divorced,secondary,
11555,33,management,married,tertiary,
11556,51,blue-collar,married,secondary,
11557,38,admin.,married,tertiary,
11558,59,management,divorced,tertiary,
11559,46,technician,married,secondary,
11560,31,technician,divorced,secondary,
11561,49,services,single,secondary,
11562,33,services,married,secondary,
11563,34,services,single,secondary,
11564,42,admin.,single,secondary,
11565,41,technician,single,unknown,
11566,49,blue-collar,married,primary,
11567,24,blue-collar,married,secondary,
11568,48,blue-collar,married,primary,
11569,43,technician,married,secondary,
11570,44,management,married,tertiary,
11571,44,blue-collar,married,primary,
11572,52,admin.,divorced,secondary,
11573,54,blue-collar,divorced,primary,
11574,43,technician,divorced,secondary,
11575,42,management,married,tertiary,
11576,36,blue-collar,married,secondary,
11577,41,admin.,single,secondary,
11578,31,technician,married,tertiary,
11579,33,services,married,secondary,
11580,30,admin.,divorced,secondary,
11581,33,blue-collar,single,secondary,
11582,37,services,married,secondary,
11583,27,blue-collar,single,secondary,
11584,22,services,married,primary,
11585,29,admin.,married,secondary,
11586,28,blue-collar,single,secondary,
11587,59,retired,divorced,secondary,
11588,51,technician,married,secondary,
11589,23,student,single,secondary,
11590,29,services,single,secondary,
11591,29,services,single,secondary,
11592,60,retired,married,primary,
11593,27,services,married,secondary,
11594,28,admin.,single,secondary,
11595,29,management,single,tertiary,
11596,38,blue-collar,married,primary,
11597,34,services,married,secondary,
11598,29,admin.,single,secondary,
11599,35,management,married,tertiary,
11600,28,admin.,single,tertiary,
11601,28,management,single,tertiary,
11602,29,admin.,married,secondary,
11603,57,management,single,secondary,
11604,26,admin.,single,secondary,
11605,39,blue-collar,married,secondary,
11606,27,admin.,married,secondary,
11607,26,services,married,secondary,
11608,36,management,divorced,tertiary,
11609,24,technician,single,secondary,
11610,23,blue-collar,single,primary,
11611,25,services,single,secondary,
11612,24,blue-collar,single,secondary,
11613,21,blue-collar,single,secondary,
11614,25,technician,married,secondary,
11615,34,blue-collar,married,secondary,
11616,30,services,single,secondary,
11617,27,blue-collar,married,secondary,
11618,29,blue-collar,married,secondary,
11619,26,blue-collar,single,unknown,
11620,35,entrepreneur,married,secondary,
11621,27,management,single,tertiary,
11622,25,blue-collar,single,secondary,
11623,23,blue-collar,single,secondary,
11624,22,student,single,secondary,
11625,31,blue-collar,single,secondary,
11626,27,blue-collar,married,secondary,
11627,23,services,single,secondary,
11628,24,admin.,married,secondary,
11629,29,blue-collar,single,secondary,
11630,24,blue-collar,single,secondary,
11631,25,management,single,tertiary,
11632,27,admin.,divorced,secondary,
11633,30,admin.,single,secondary,
11634,29,blue-collar,single,secondary,
11635,33,blue-collar,married,secondary,
11636,21,blue-collar,married,primary,
11637,30,blue-collar,married,secondary,
11638,29,technician,married,secondary,
11639,48,technician,married,secondary,
11640,28,services,single,secondary,
11641,25,blue-collar,single,secondary,
11642,28,blue-collar,married,secondary,
11643,29,blue-collar,married,primary,
11644,26,self-employed,single,secondary,
11645,26,admin.,single,secondary,
11646,24,student,single,secondary,
11647,27,management,single,tertiary,
11648,27,technician,married,secondary,
11649,28,unemployed,single,secondary,
11650,32,services,married,secondary,
11651,52,management,divorced,tertiary,
11652,27,blue-collar,married,secondary,
11653,27,management,single,tertiary,
11654,22,admin.,married,secondary,
11655,28,management,single,tertiary,
11656,23,technician,single,secondary,
11657,29,services,single,secondary,
11658,29,blue-collar,married,secondary,
11659,37,blue-collar,married,secondary,
11660,60,housemaid,divorced,secondary,
11661,51,services,married,primary,
11662,29,admin.,married,secondary,
11663,26,admin.,divorced,secondary,
11664,30,unknown,single,primary,
11665,49,entrepreneur,married,primary,
11666,31,services,single,secondary,
11667,30,technician,married,tertiary,
11668,30,self-employed,married,tertiary,
11669,32,technician,married,secondary,
11670,36,blue-collar,married,primary,
11671,47,blue-collar,married,secondary,
11672,27,entrepreneur,single,tertiary,
11673,26,blue-collar,married,primary,
11674,40,services,divorced,secondary,
11675,43,unknown,single,primary,
11676,28,technician,single,tertiary,
11677,27,admin.,married,secondary,
11678,57,management,married,primary,
11679,32,technician,divorced,secondary,
11680,27,blue-collar,single,primary,
11681,38,services,married,secondary,
11682,36,technician,married,tertiary,
11683,45,services,married,secondary,
11684,30,management,single,tertiary,
11685,48,blue-collar,single,tertiary,
11686,39,blue-collar,married,primary,
11687,24,services,single,secondary,
11688,29,self-employed,married,tertiary,
11689,35,blue-collar,married,primary,
11690,30,management,single,tertiary,
11691,28,unemployed,single,tertiary,
11692,50,technician,married,secondary,
11693,41,management,single,tertiary,
11694,58,housemaid,married,primary,
11695,31,admin.,married,primary,
11696,33,management,married,tertiary,
11697,35,blue-collar,single,secondary,
11698,29,blue-collar,married,primary,
11699,29,blue-collar,married,primary,
11700,29,blue-collar,married,primary,
11701,29,services,married,tertiary,
11702,28,blue-collar,single,secondary,
11703,26,services,single,secondary,
11704,26,blue-collar,married,secondary,
11705,24,technician,single,secondary,
11706,26,student,single,secondary,
11707,47,blue-collar,married,primary,
11708,49,management,married,secondary,
11709,52,blue-collar,single,secondary,
11710,44,blue-collar,married,secondary,
11711,39,blue-collar,married,secondary,
11712,41,services,married,secondary,
11713,28,management,single,tertiary,
11714,53,services,married,secondary,
11715,54,blue-collar,divorced,primary,
11716,29,admin.,single,secondary,
11717,49,blue-collar,married,primary,
11718,29,admin.,divorced,secondary,
11719,27,blue-collar,married,secondary,
11720,27,blue-collar,married,secondary,
11721,28,unemployed,married,secondary,
11722,44,entrepreneur,married,secondary,
11723,29,services,single,secondary,
11724,29,admin.,divorced,secondary,
11725,35,admin.,divorced,secondary,
11726,46,blue-collar,married,primary,
11727,25,blue-collar,married,secondary,
11728,37,unemployed,single,secondary,
11729,29,blue-collar,single,primary,
11730,51,blue-collar,married,secondary,
11731,35,management,divorced,tertiary,
11732,50,unemployed,married,secondary,
11733,28,blue-collar,single,secondary,
11734,37,blue-collar,married,secondary,
11735,35,blue-collar,married,primary,
11736,57,blue-collar,married,primary,
11737,28,management,single,tertiary,
11738,32,blue-collar,divorced,secondary,
11739,30,technician,single,secondary,
11740,52,management,married,secondary,
11741,33,services,married,secondary,
11742,33,blue-collar,married,secondary,
11743,47,blue-collar,married,secondary,
11744,37,blue-collar,married,secondary,
11745,42,admin.,divorced,secondary,
11746,26,blue-collar,single,primary,
11747,40,services,married,secondary,
11748,30,services,single,secondary,
11749,31,admin.,married,secondary,
11750,26,technician,single,tertiary,
11751,50,admin.,divorced,secondary,
11752,28,admin.,single,secondary,
11753,51,blue-collar,married,unknown,
11754,49,blue-collar,married,secondary,
11755,42,services,married,secondary,
11756,36,blue-collar,married,secondary,
11757,39,admin.,married,secondary,
11758,33,blue-collar,married,primary,
11759,40,blue-collar,married,secondary,
11760,23,services,single,secondary,
11761,50,blue-collar,married,primary,
11762,29,student,single,secondary,
11763,43,services,married,secondary,
11764,36,management,married,tertiary,
11765,29,blue-collar,single,secondary,
11766,29,blue-collar,married,unknown,
11767,54,blue-collar,married,secondary,
11768,42,blue-collar,married,primary,
11769,49,blue-collar,married,primary,
11770,39,admin.,married,secondary,
11771,39,blue-collar,married,primary,
11772,33,blue-collar,married,secondary,
11773,29,management,married,tertiary,
11774,27,blue-collar,single,primary,
11775,52,admin.,divorced,secondary,
11776,34,blue-collar,married,unknown,
11777,44,services,divorced,secondary,
11778,39,blue-collar,single,primary,
11779,39,blue-collar,married,primary,
11780,26,blue-collar,married,secondary,
11781,27,services,single,secondary,
11782,24,management,single,tertiary,
11783,27,services,single,secondary,
11784,41,entrepreneur,married,primary,
11785,36,unemployed,single,secondary,
11786,59,blue-collar,married,secondary,
11787,29,blue-collar,single,secondary,
11788,38,technician,married,secondary,
11789,36,blue-collar,divorced,secondary,
11790,43,management,divorced,tertiary,
11791,32,blue-collar,single,secondary,
11792,26,services,single,secondary,
11793,32,management,married,tertiary,
11794,30,admin.,single,secondary,
11795,25,blue-collar,divorced,secondary,
11796,29,management,married,tertiary,
11797,29,self-employed,married,tertiary,
11798,52,admin.,married,secondary,
11799,44,management,married,tertiary,
11800,56,technician,married,secondary,
11801,55,unknown,married,tertiary,
11802,35,self-employed,married,tertiary,
11803,59,housemaid,married,primary,
11804,41,management,married,tertiary,
11805,36,admin.,single,secondary,
11806,56,retired,divorced,primary,
11807,43,management,married,tertiary,
11808,56,technician,married,primary,
11809,48,admin.,married,secondary,
11810,53,retired,married,secondary,
11811,39,blue-collar,single,primary,
11812,50,unemployed,married,primary,
11813,35,blue-collar,married,secondary,
11814,46,services,married,secondary,
11815,39,technician,married,secondary,
11816,40,blue-collar,married,primary,
11817,49,blue-collar,married,unknown,
11818,39,admin.,married,secondary,
11819,56,unemployed,married,primary,
11820,43,entrepreneur,married,tertiary,
11821,33,blue-collar,married,secondary,
11822,53,housemaid,married,primary,
11823,51,management,divorced,tertiary,
11824,47,entrepreneur,divorced,tertiary,
11825,38,admin.,divorced,secondary,
11826,60,blue-collar,married,secondary,
11827,38,management,married,primary,
11828,38,blue-collar,married,secondary,
11829,38,management,married,secondary,
11830,54,self-employed,married,secondary,
11831,59,admin.,single,secondary,
11832,59,retired,married,secondary,
11833,37,technician,divorced,secondary,
11834,40,management,single,tertiary,
11835,41,technician,married,secondary,
11836,51,admin.,married,secondary,
11837,46,technician,married,secondary,
11838,59,unknown,married,unknown,
11839,49,entrepreneur,married,tertiary,
11840,48,blue-collar,married,primary,
11841,35,management,married,tertiary,
11842,36,management,married,unknown,
11843,50,technician,married,primary,
11844,52,unknown,married,primary,
11845,44,blue-collar,married,secondary,
11846,51,unknown,divorced,unknown,
11847,36,blue-collar,married,secondary,
11848,58,blue-collar,married,secondary,
11849,39,services,single,secondary,
11850,42,admin.,married,secondary,
11851,57,management,married,tertiary,
11852,46,technician,single,tertiary,
11853,53,management,married,tertiary,
11854,51,admin.,married,primary,
11855,43,housemaid,married,primary,
11856,30,entrepreneur,married,secondary,
11857,25,blue-collar,single,secondary,
11858,40,blue-collar,married,secondary,
11859,37,blue-collar,married,primary,
11860,53,management,married,tertiary,
11861,59,retired,married,secondary,
11862,55,retired,divorced,secondary,
11863,37,blue-collar,married,secondary,
11864,48,services,divorced,secondary,
11865,44,technician,married,secondary,
11866,37,blue-collar,married,secondary,
11867,42,blue-collar,divorced,secondary,
11868,37,services,married,secondary,
11869,37,self-employed,single,secondary,
11870,52,housemaid,married,primary,
11871,57,technician,married,primary,
11872,23,services,married,secondary,
11873,44,services,married,secondary,
11874,40,blue-collar,married,secondary,
11875,44,technician,married,secondary,
11876,59,retired,divorced,primary,
11877,45,management,married,secondary,
11878,38,admin.,single,unknown,
11879,48,retired,single,secondary,
11880,47,entrepreneur,married,secondary,
11881,60,retired,married,secondary,
11882,47,unemployed,married,primary,
11883,52,housemaid,married,secondary,
11884,60,housemaid,married,tertiary,
11885,58,entrepreneur,married,tertiary,
11886,56,management,divorced,tertiary,
11887,32,blue-collar,single,secondary,
11888,26,services,married,secondary,
11889,58,retired,divorced,secondary,
11890,51,services,married,secondary,
11891,57,management,married,secondary,
11892,36,blue-collar,married,secondary,
11893,41,admin.,single,secondary,
11894,51,unknown,single,unknown,
11895,55,retired,divorced,tertiary,
11896,42,services,married,secondary,
11897,45,blue-collar,married,unknown,
11898,37,self-employed,married,tertiary,
11899,57,blue-collar,married,primary,
11900,47,blue-collar,married,primary,
11901,39,technician,single,secondary,
11902,37,services,single,secondary,
11903,39,blue-collar,married,primary,
11904,50,management,married,tertiary,
11905,37,management,single,tertiary,
11906,37,blue-collar,single,primary,
11907,37,entrepreneur,married,unknown,
11908,46,management,divorced,tertiary,
11909,47,technician,married,secondary,
11910,59,blue-collar,married,primary,
11911,42,blue-collar,married,primary,
11912,60,retired,married,tertiary,
11913,39,services,married,secondary,
11914,37,unemployed,single,primary,
11915,60,management,married,tertiary,
11916,37,admin.,married,secondary,
11917,45,housemaid,married,tertiary,
11918,37,entrepreneur,divorced,secondary,
11919,55,retired,married,primary,
11920,56,management,divorced,tertiary,
11921,31,blue-collar,married,secondary,
11922,55,housemaid,single,primary,
11923,46,admin.,single,secondary,
11924,56,blue-collar,married,primary,
11925,28,admin.,single,secondary,
11926,35,blue-collar,single,primary,
11927,44,services,married,unknown,
11928,50,retired,married,primary,
11929,42,unknown,single,unknown,
11930,51,technician,divorced,secondary,
11931,42,unemployed,married,secondary,
11932,42,technician,married,secondary,
11933,59,housemaid,married,primary,
11934,48,management,married,tertiary,
11935,57,housemaid,divorced,primary,
11936,56,retired,married,primary,
11937,48,blue-collar,single,primary,
11938,59,blue-collar,married,unknown,
11939,36,blue-collar,married,secondary,
11940,43,blue-collar,single,secondary,
11941,44,unemployed,married,tertiary,
11942,47,management,married,tertiary,
11943,27,management,single,tertiary,
11944,60,blue-collar,married,secondary,
11945,59,unknown,married,primary,
11946,42,housemaid,married,primary,
11947,35,entrepreneur,single,tertiary,
11948,45,services,married,secondary,
11949,60,retired,married,secondary,
11950,38,management,divorced,tertiary,
11951,53,unemployed,divorced,secondary,
11952,37,technician,single,secondary,
11953,54,entrepreneur,married,tertiary,
11954,39,services,married,secondary,
11955,45,services,married,secondary,
11956,42,admin.,single,secondary,
11957,50,management,married,unknown,
11958,47,blue-collar,married,primary,
11959,38,services,divorced,secondary,
11960,42,blue-collar,married,secondary,
11961,46,blue-collar,married,secondary,
11962,39,blue-collar,married,secondary,
11963,56,management,married,primary,
11964,49,blue-collar,married,secondary,
11965,39,admin.,single,secondary,
11966,61,housemaid,married,unknown,
11967,45,blue-collar,married,primary,
11968,32,blue-collar,single,secondary,
11969,53,services,divorced,primary,
11970,53,housemaid,married,primary,
11971,36,unemployed,single,primary,
11972,37,management,divorced,tertiary,
11973,54,housemaid,divorced,secondary,
11974,58,admin.,married,unknown,
11975,46,blue-collar,married,primary,
11976,49,management,married,tertiary,
11977,41,admin.,married,secondary,
11978,48,admin.,married,secondary,
11979,47,blue-collar,married,secondary,
11980,56,housemaid,divorced,primary,
11981,41,housemaid,married,secondary,
11982,37,blue-collar,married,secondary,
11983,29,blue-collar,married,secondary,
11984,29,self-employed,married,secondary,
11985,48,management,married,primary,
11986,30,entrepreneur,single,tertiary,
11987,37,technician,single,secondary,
11988,38,admin.,married,secondary,
11989,60,blue-collar,married,secondary,
11990,37,entrepreneur,married,secondary,
11991,39,services,married,secondary,
11992,55,management,single,tertiary,
11993,40,blue-collar,married,primary,
11994,51,unemployed,married,primary,
11995,33,housemaid,divorced,secondary,
11996,55,blue-collar,married,secondary,
11997,26,technician,married,secondary,
11998,38,self-employed,married,unknown,
11999,38,blue-collar,married,secondary,
12000,36,blue-collar,married,primary,
12001,43,services,single,secondary,
12002,36,unknown,single,unknown,
12003,48,technician,married,unknown,
12004,38,services,single,tertiary,
12005,44,services,divorced,secondary,
12006,37,blue-collar,single,primary,
12007,58,blue-collar,married,secondary,
12008,38,services,married,secondary,
12009,37,blue-collar,married,unknown,
12010,45,blue-collar,single,secondary,
12011,46,technician,married,secondary,
12012,29,services,married,primary,
12013,39,admin.,married,secondary,
12014,41,admin.,married,secondary,
12015,44,management,married,tertiary,
12016,48,services,single,secondary,
12017,39,unknown,single,secondary,
12018,48,admin.,married,secondary,
12019,36,admin.,single,unknown,
12020,44,technician,married,secondary,
12021,37,admin.,married,secondary,
12022,56,retired,married,primary,
12023,39,services,single,secondary,
12024,50,technician,divorced,tertiary,
12025,41,blue-collar,married,secondary,
12026,48,entrepreneur,divorced,tertiary,
12027,59,housemaid,married,primary,
12028,50,entrepreneur,single,primary,
12029,36,self-employed,married,secondary,
12030,40,services,single,secondary,
12031,55,admin.,single,secondary,
12032,52,management,married,primary,
12033,40,management,single,secondary,
12034,50,housemaid,married,secondary,
12035,59,management,married,primary,
12036,52,management,married,tertiary,
12037,40,unemployed,married,secondary,
12038,55,retired,married,tertiary,
12039,53,retired,married,secondary,
12040,40,self-employed,married,tertiary,
12041,35,self-employed,married,secondary,
12042,24,admin.,married,secondary,
12043,53,management,married,tertiary,
12044,52,services,married,secondary,
12045,38,admin.,single,secondary,
12046,44,technician,married,secondary,
12047,39,blue-collar,divorced,primary,
12048,45,retired,divorced,secondary,
12049,32,blue-collar,married,secondary,
12050,48,management,married,tertiary,
12051,37,unknown,married,primary,
12052,59,management,married,primary,
12053,35,admin.,married,secondary,
12054,37,blue-collar,married,secondary,
12055,41,technician,married,tertiary,
12056,45,services,married,secondary,
12057,43,management,divorced,secondary,
12058,42,management,married,tertiary,
12059,59,blue-collar,married,primary,
12060,58,retired,married,secondary,
12061,41,self-employed,married,secondary,
12062,38,technician,single,tertiary,
12063,38,admin.,married,secondary,
12064,57,self-employed,single,secondary,
12065,40,services,married,secondary,
12066,44,unemployed,married,primary,
12067,33,management,married,tertiary,
12068,36,blue-collar,divorced,secondary,
12069,39,blue-collar,single,unknown,
12070,55,unemployed,married,tertiary,
12071,53,unknown,married,unknown,
12072,45,blue-collar,married,secondary,
12073,50,technician,married,secondary,
12074,39,blue-collar,single,primary,
12075,39,blue-collar,married,primary,
12076,49,technician,married,secondary,
12077,30,technician,married,secondary,
12078,45,blue-collar,divorced,primary,
12079,38,blue-collar,single,secondary,
12080,42,blue-collar,married,secondary,
12081,36,admin.,single,secondary,
12082,30,services,married,secondary,
12083,53,entrepreneur,married,primary,
12084,36,management,married,tertiary,
12085,56,management,married,primary,
12086,44,unemployed,married,primary,
12087,58,admin.,married,secondary,
12088,39,technician,single,secondary,
12089,55,management,married,unknown,
12090,39,blue-collar,single,primary,
12091,49,admin.,married,secondary,
12092,51,technician,married,primary,
12093,39,admin.,married,secondary,
12094,53,technician,divorced,secondary,
12095,41,management,married,tertiary,
12096,35,admin.,single,secondary,
12097,37,self-employed,single,tertiary,
12098,35,entrepreneur,married,secondary,
12099,38,services,married,secondary,
12100,41,management,married,tertiary,
12101,35,blue-collar,married,secondary,
12102,26,blue-collar,married,secondary,
12103,41,blue-collar,married,secondary,
12104,58,housemaid,married,primary,
12105,58,blue-collar,married,secondary,
12106,42,technician,married,tertiary,
12107,40,unemployed,married,secondary,
12108,52,self-employed,single,tertiary,
12109,51,services,married,unknown,
12110,57,retired,married,primary,
12111,46,management,married,unknown,
12112,29,technician,single,secondary,
12113,40,blue-collar,married,primary,
12114,36,management,married,tertiary,
12115,55,blue-collar,married,primary,
12116,32,management,single,tertiary,
12117,58,admin.,married,primary,
12118,38,student,single,tertiary,
12119,46,admin.,single,secondary,
12120,44,technician,married,secondary,
12121,26,services,single,secondary,
12122,37,management,married,tertiary,
12123,57,technician,married,primary,
12124,28,admin.,single,unknown,
12125,47,blue-collar,married,unknown,
12126,40,entrepreneur,married,primary,
12127,35,blue-collar,married,primary,
12128,40,blue-collar,married,primary,
12129,39,admin.,single,primary,
12130,24,student,single,primary,
12131,34,blue-collar,single,secondary,
12132,34,management,single,tertiary,
12133,38,technician,married,secondary,
12134,55,management,divorced,secondary,
12135,39,technician,single,tertiary,
12136,44,blue-collar,married,secondary,
12137,45,self-employed,married,tertiary,
12138,47,admin.,married,secondary,
12139,46,blue-collar,married,primary,
12140,53,blue-collar,married,primary,
12141,51,admin.,married,secondary,
12142,59,management,single,tertiary,
12143,39,blue-collar,married,primary,
12144,52,blue-collar,married,primary,
12145,39,blue-collar,single,unknown,
12146,41,blue-collar,married,primary,
12147,42,blue-collar,married,secondary,
12148,42,self-employed,married,tertiary,
12149,52,management,married,secondary,
12150,47,unemployed,married,primary,
12151,39,self-employed,divorced,secondary,
12152,42,blue-collar,married,secondary,
12153,38,admin.,married,primary,
12154,39,services,single,secondary,
12155,35,housemaid,single,secondary,
12156,58,technician,married,primary,
12157,56,management,divorced,tertiary,
12158,46,management,married,tertiary,
12159,60,technician,divorced,secondary,
12160,39,unknown,married,secondary,
12161,48,entrepreneur,single,tertiary,
12162,39,blue-collar,married,secondary,
12163,41,blue-collar,single,secondary,
12164,36,services,married,secondary,
12165,44,management,single,secondary,
12166,32,services,married,secondary,
12167,37,services,single,secondary,
12168,51,management,married,tertiary,
12169,32,blue-collar,married,primary,
12170,41,services,married,secondary,
12171,26,management,single,secondary,
12172,38,blue-collar,married,secondary,
12173,36,housemaid,married,primary,
12174,39,unknown,single,secondary,
12175,56,services,married,primary,
12176,39,self-employed,married,tertiary,
12177,52,housemaid,married,primary,
12178,30,blue-collar,divorced,primary,
12179,25,management,single,tertiary,
12180,60,retired,married,secondary,
12181,38,blue-collar,married,secondary,
12182,54,entrepreneur,married,secondary,
12183,40,services,single,secondary,
12184,37,blue-collar,married,primary,
12185,43,entrepreneur,married,tertiary,
12186,39,management,divorced,unknown,
12187,33,blue-collar,married,primary,
12188,28,blue-collar,married,secondary,
12189,27,services,single,secondary,
12190,44,management,divorced,tertiary,
12191,38,management,married,tertiary,
12192,41,technician,married,secondary,
12193,44,admin.,married,secondary,
12194,54,management,married,tertiary,
12195,30,technician,single,tertiary,
12196,39,blue-collar,married,primary,
12197,51,self-employed,married,primary,
12198,38,blue-collar,married,secondary,
12199,36,management,single,secondary,
12200,36,blue-collar,single,secondary,
12201,35,management,single,secondary,
12202,37,self-employed,single,tertiary,
12203,50,blue-collar,single,primary,
12204,38,management,married,secondary,
12205,40,management,single,tertiary,
12206,46,unknown,married,unknown,
12207,39,admin.,married,secondary,
12208,48,blue-collar,married,primary,
12209,38,unknown,married,primary,
12210,38,blue-collar,single,secondary,
12211,58,unknown,married,tertiary,
12212,31,technician,single,unknown,
12213,51,management,married,tertiary,
12214,41,housemaid,divorced,primary,
12215,26,blue-collar,single,secondary,
12216,26,technician,single,secondary,
12217,26,admin.,married,secondary,
12218,28,admin.,married,secondary,
12219,38,blue-collar,married,secondary,
12220,53,management,married,tertiary,
12221,56,management,married,tertiary,
12222,27,admin.,single,secondary,
12223,48,blue-collar,divorced,primary,
12224,56,unknown,divorced,unknown,
12225,37,blue-collar,married,unknown,
12226,41,blue-collar,married,secondary,
12227,38,blue-collar,married,primary,
12228,29,technician,single,secondary,
12229,43,blue-collar,married,secondary,
12230,60,housemaid,married,primary,
12231,36,admin.,married,secondary,
12232,38,admin.,single,secondary,
12233,40,technician,married,secondary,
12234,58,entrepreneur,married,primary,
12235,41,blue-collar,divorced,secondary,
12236,47,unknown,married,unknown,
12237,60,technician,married,tertiary,
12238,37,services,single,secondary,
12239,58,technician,divorced,secondary,
12240,30,management,single,tertiary,
12241,47,admin.,married,secondary,
12242,46,unknown,married,unknown,
12243,54,services,single,secondary,
12244,58,management,divorced,tertiary,
12245,41,entrepreneur,married,primary,
12246,53,retired,married,primary,
12247,35,self-employed,single,primary,
12248,46,technician,married,tertiary,
12249,51,entrepreneur,married,tertiary,
12250,35,self-employed,married,secondary,
12251,48,technician,married,secondary,
12252,37,self-employed,single,tertiary,
12253,35,housemaid,married,primary,
12254,51,housemaid,married,primary,
12255,36,unemployed,married,secondary,
12256,50,blue-collar,married,primary,
12257,60,retired,married,primary,
12258,35,blue-collar,married,secondary,
12259,55,blue-collar,divorced,secondary,
12260,36,technician,single,secondary,
12261,59,housemaid,divorced,secondary,
12262,37,management,married,tertiary,
12263,39,services,married,secondary,
12264,34,technician,married,secondary,
12265,53,blue-collar,married,secondary,
12266,50,blue-collar,married,primary,
12267,32,self-employed,married,tertiary,
12268,36,management,single,tertiary,
12269,59,housemaid,divorced,primary,
12270,30,admin.,single,secondary,
12271,40,blue-collar,single,primary,
12272,60,self-employed,married,secondary,
12273,37,self-employed,married,secondary,
12274,36,self-employed,single,tertiary,
12275,46,blue-collar,married,secondary,
12276,52,self-employed,married,secondary,
12277,38,management,single,tertiary,
12278,28,technician,single,secondary,
12279,57,blue-collar,married,primary,
12280,40,management,married,tertiary,
12281,40,admin.,married,secondary,
12282,38,admin.,married,secondary,
12283,59,admin.,married,secondary,
12284,48,unemployed,married,primary,
12285,37,blue-collar,married,secondary,
12286,36,entrepreneur,divorced,tertiary,
12287,56,technician,married,secondary,
12288,27,management,single,unknown,
12289,54,self-employed,divorced,primary,
12290,41,admin.,single,secondary,
12291,53,blue-collar,married,secondary,
12292,35,unknown,married,unknown,
12293,26,admin.,married,secondary,
12294,39,blue-collar,married,secondary,
12295,50,services,single,secondary,
12296,49,management,single,tertiary,
12297,48,management,married,secondary,
12298,42,management,married,tertiary,
12299,46,self-employed,single,secondary,
12300,48,entrepreneur,married,tertiary,
12301,36,technician,married,secondary,
12302,59,self-employed,married,tertiary,
12303,48,services,married,secondary,
12304,52,blue-collar,married,primary,
12305,56,unemployed,divorced,secondary,
12306,47,blue-collar,married,primary,
12307,52,self-employed,married,tertiary,
12308,53,entrepreneur,married,unknown,
12309,50,technician,married,secondary,
12310,51,self-employed,married,primary,
12311,37,technician,single,tertiary,
12312,41,blue-collar,married,primary,
12313,59,retired,married,primary,
12314,55,services,divorced,primary,
12315,35,blue-collar,single,unknown,
12316,56,housemaid,divorced,tertiary,
12317,36,services,divorced,secondary,
12318,43,self-employed,married,tertiary,
12319,48,management,married,tertiary,
12320,34,housemaid,married,tertiary,
12321,44,self-employed,single,tertiary,
12322,39,services,married,secondary,
12323,43,admin.,married,primary,
12324,53,housemaid,single,tertiary,
12325,36,blue-collar,married,secondary,
12326,36,services,single,primary,
12327,41,management,single,tertiary,
12328,37,services,divorced,secondary,
12329,32,services,divorced,secondary,
12330,56,retired,divorced,tertiary,
12331,44,blue-collar,single,secondary,
12332,25,admin.,single,secondary,
12333,30,management,single,tertiary,
12334,32,services,married,secondary,
12335,53,technician,married,secondary,
12336,29,technician,married,tertiary,
12337,49,housemaid,divorced,secondary,
12338,37,entrepreneur,married,tertiary,
12339,41,housemaid,single,primary,
12340,37,blue-collar,divorced,secondary,
12341,41,admin.,divorced,secondary,
12342,46,technician,married,secondary,
12343,35,services,single,secondary,
12344,40,services,single,secondary,
12345,36,housemaid,single,tertiary,
12346,39,housemaid,single,secondary,
12347,55,housemaid,married,primary,
12348,49,housemaid,divorced,unknown,
12349,54,management,married,unknown,
12350,45,self-employed,married,tertiary,
12351,29,blue-collar,single,primary,
12352,58,blue-collar,married,secondary,
12353,35,management,married,tertiary,
12354,50,blue-collar,married,secondary,
12355,47,admin.,married,secondary,
12356,38,blue-collar,married,secondary,
12357,39,technician,single,secondary,
12358,45,housemaid,single,secondary,
12359,40,blue-collar,married,primary,
12360,37,blue-collar,married,secondary,
12361,52,retired,married,secondary,
12362,40,management,married,primary,
12363,28,blue-collar,single,secondary,
12364,56,unemployed,divorced,tertiary,
12365,46,retired,single,primary,
12366,51,technician,married,secondary,
12367,39,self-employed,married,secondary,
12368,45,services,married,secondary,
12369,33,entrepreneur,single,tertiary,
12370,45,blue-collar,divorced,secondary,
12371,58,housemaid,married,primary,
