ID,DEFAULT,BALANCE,HOUSING,LOAN,
8019,no,858,yes,no,
8020,no,3696,no,no,
8021,no,3784,no,no,
8022,no,3119,yes,no,
8023,no,1518,yes,no,
8024,no,4822,yes,no,
8025,no,0,yes,no,
8026,no,1393,yes,no,
8027,no,1023,yes,no,
8028,no,4191,no,no,
8029,no,2645,yes,no,
8030,no,0,yes,no,
8031,no,776,yes,no,
8032,no,1165,yes,no,
8033,no,412,yes,no,
8034,no,461,yes,no,
8035,no,-402,no,no,
8036,no,1813,yes,no,
8037,no,1169,yes,no,
8038,no,0,yes,no,
8039,no,511,yes,no,
8040,no,328,yes,no,
8041,no,259,yes,no,
8042,no,126,no,no,
8043,no,5902,yes,no,
8044,no,10,yes,no,
8045,no,3137,yes,no,
8046,no,2238,yes,no,
8047,no,131,yes,no,
8048,no,773,yes,no,
8049,no,399,yes,yes,
8050,no,173,no,no,
8051,no,690,yes,no,
8052,no,1601,yes,no,
8053,no,439,yes,no,
8054,no,3132,yes,no,
8055,no,-408,yes,no,
8056,no,265,yes,no,
8057,no,363,yes,no,
8058,no,8541,yes,no,
8059,no,486,yes,no,
8060,no,594,yes,yes,
8061,yes,98,no,yes,
8062,no,462,yes,no,
8063,no,372,yes,no,
8064,no,1221,yes,no,
8065,no,917,yes,no,
8066,no,0,yes,no,
8067,no,884,yes,no,
8068,no,587,yes,no,
8069,no,91,no,no,
8070,no,165,yes,no,
8071,no,456,yes,no,
8072,no,994,yes,no,
8073,no,1710,yes,no,
8074,no,1138,yes,yes,
8075,no,360,yes,no,
8076,no,2737,yes,yes,
8077,no,8564,yes,no,
8078,no,435,yes,yes,
8079,no,4243,yes,no,
8080,no,989,yes,yes,
8081,no,1186,yes,no,
8082,no,1261,yes,no,
8083,no,25,yes,no,
8084,no,206,yes,no,
8085,no,11423,yes,no,
8086,no,184,yes,no,
8087,no,1354,yes,no,
8088,no,751,yes,no,
8089,no,711,yes,no,
8090,no,453,yes,yes,
8091,no,1129,yes,no,
8092,no,237,yes,no,
8093,no,1239,yes,no,
8094,no,0,yes,no,
8095,no,392,yes,no,
8096,no,2490,yes,no,
8097,no,6714,yes,no,
8098,no,873,yes,no,
8099,no,1464,yes,no,
8100,no,90,yes,no,
8101,no,714,yes,no,
8102,no,463,yes,no,
8103,no,1516,yes,yes,
8104,no,509,yes,no,
8105,no,207,yes,no,
8106,no,3967,yes,no,
8107,no,3517,yes,no,
8108,no,435,yes,no,
8109,no,6227,yes,no,
8110,no,1092,no,no,
8111,no,394,yes,no,
8112,no,239,yes,no,
8113,yes,-509,yes,no,
8114,no,-32,yes,no,
8115,no,11315,no,no,
8116,no,1273,yes,no,
8117,no,1649,yes,no,
8118,no,84,yes,no,
8119,no,278,yes,yes,
8120,no,2459,yes,yes,
8121,no,4941,yes,no,
8122,no,3798,yes,no,
8123,no,597,yes,no,
8124,no,-32,yes,no,
8125,no,525,yes,no,
8126,no,416,yes,yes,
8127,no,680,yes,no,
8128,no,4303,yes,no,
8129,no,3050,yes,no,
8130,no,750,yes,no,
8131,no,5547,yes,no,
8132,no,643,yes,no,
8133,no,-386,yes,no,
8134,no,5889,yes,no,
8135,no,207,yes,no,
8136,no,1883,yes,no,
8137,no,697,yes,no,
8138,no,14692,yes,no,
8139,no,595,yes,no,
8140,no,1243,yes,no,
8141,no,-326,yes,yes,
8142,no,17946,yes,no,
8143,no,2144,yes,no,
8144,no,1410,yes,no,
8145,no,18347,yes,no,
8146,no,177,yes,no,
8147,no,0,yes,no,
8148,no,291,no,no,
8149,no,1880,yes,no,
8150,no,7,yes,no,
8151,no,21,yes,no,
8152,no,136,yes,no,
8153,no,9068,yes,no,
8154,no,159,yes,no,
8155,no,2557,yes,no,
8156,no,287,yes,no,
8157,no,1765,yes,no,
8158,no,571,yes,no,
8159,no,0,yes,yes,
8160,no,700,yes,no,
8161,no,0,yes,no,
8162,no,59,yes,yes,
8163,no,370,yes,no,
8164,no,0,yes,no,
8165,no,225,yes,no,
8166,no,-118,yes,yes,
8167,no,390,yes,no,
8168,no,1379,yes,no,
8169,no,1168,yes,no,
8170,no,287,no,no,
8171,no,2549,yes,no,
8172,no,79,yes,no,
8173,no,0,yes,no,
8174,no,827,yes,no,
8175,no,12,yes,no,
8176,no,973,yes,yes,
8177,no,1408,yes,no,
8178,no,2495,yes,no,
8179,no,339,yes,no,
8180,no,0,yes,no,
8181,no,520,yes,no,
8182,no,5745,yes,yes,
8183,no,222,yes,no,
8184,no,-355,yes,no,
8185,no,1804,yes,no,
8186,no,253,yes,no,
8187,no,524,yes,no,
8188,no,132,no,no,
8189,yes,-1,yes,yes,
8190,no,-401,yes,no,
8191,no,410,yes,no,
8192,no,3155,yes,no,
8193,no,247,no,no,
8194,no,16,no,no,
8195,no,823,yes,no,
8196,no,1141,yes,no,
8197,no,246,yes,no,
8198,no,-102,yes,no,
8199,no,151,no,no,
8200,no,1212,yes,no,
8201,no,397,yes,no,
8202,no,-6,no,no,
8203,no,56,yes,no,
8204,no,1156,yes,no,
8205,no,-327,yes,yes,
8206,no,1570,yes,no,
8207,no,-175,yes,yes,
8208,no,353,yes,no,
8209,no,61,yes,no,
8210,no,-1206,yes,no,
8211,no,208,yes,no,
8212,no,38,yes,no,
8213,no,-209,yes,yes,
8214,no,759,yes,no,
8215,no,-40,yes,no,
8216,no,4,yes,no,
8217,no,45,yes,yes,
8218,no,-753,yes,yes,
8219,no,820,yes,no,
8220,no,0,yes,yes,
8221,no,672,yes,no,
8222,no,-762,yes,yes,
8223,no,422,yes,no,
8224,no,51,yes,no,
8225,no,1601,yes,no,
8226,no,2278,yes,no,
8227,yes,110,yes,no,
8228,no,539,yes,yes,
8229,no,-332,yes,no,
8230,yes,0,no,no,
8231,no,468,yes,yes,
8232,no,240,yes,no,
8233,no,2,no,yes,
8234,yes,339,yes,no,
8235,no,295,yes,no,
8236,no,7252,no,no,
8237,no,1109,yes,no,
8238,no,-319,yes,no,
8239,no,5553,yes,no,
8240,no,187,yes,no,
8241,no,2080,yes,no,
8242,no,-319,yes,no,
8243,no,-221,yes,no,
8244,no,2114,no,yes,
8245,no,4009,yes,no,
8246,no,579,yes,no,
8247,no,3142,no,no,
8248,no,-205,yes,no,
8249,no,79,no,no,
8250,no,-591,yes,no,
8251,no,440,no,no,
8252,yes,-274,yes,yes,
8253,no,0,yes,yes,
8254,no,2043,yes,yes,
8255,no,282,yes,yes,
8256,no,-26,yes,yes,
8257,no,-267,no,no,
8258,no,368,yes,no,
8259,no,745,yes,no,
8260,no,383,yes,no,
8261,no,239,yes,no,
8262,no,382,yes,no,
8263,no,2679,yes,yes,
8264,no,3,yes,no,
8265,no,4746,yes,no,
8266,no,30,no,no,
8267,no,-455,yes,no,
8268,no,0,yes,no,
8269,no,-78,yes,yes,
8270,no,302,yes,yes,
8271,no,-299,yes,no,
8272,no,1611,yes,no,
8273,no,498,yes,no,
8274,no,0,no,no,
8275,no,454,yes,yes,
8276,no,0,yes,no,
8277,no,30,no,no,
8278,no,511,yes,yes,
8279,no,127,yes,no,
8280,no,1940,yes,no,
8281,no,-108,yes,no,
8282,no,242,yes,no,
8283,no,1012,yes,no,
8284,no,-393,yes,yes,
8285,no,430,yes,no,
8286,no,-825,yes,no,
8287,no,135,yes,no,
8288,no,369,yes,no,
8289,no,1522,yes,no,
8290,no,523,yes,no,
8291,no,104,yes,no,
8292,no,341,yes,no,
8293,no,3767,yes,no,
8294,no,1667,yes,no,
8295,no,430,yes,no,
8296,no,603,yes,no,
8297,no,0,no,no,
8298,no,510,yes,no,
8299,no,0,yes,no,
8300,no,17455,yes,yes,
8301,no,176,yes,no,
8302,no,139,yes,no,
8303,no,3625,yes,no,
8304,no,1651,yes,no,
8305,no,74,yes,no,
8306,no,-311,yes,no,
8307,no,-413,yes,no,
8308,no,1202,yes,no,
8309,no,321,yes,no,
8310,no,221,yes,no,
8311,no,1996,yes,no,
8312,no,1222,yes,no,
8313,yes,150,yes,yes,
8314,no,701,yes,no,
8315,no,0,yes,yes,
8316,no,-375,yes,no,
8317,no,6374,yes,no,
8318,no,387,yes,no,
8319,no,149,yes,no,
8320,no,630,yes,no,
8321,no,150,yes,no,
8322,no,1358,yes,yes,
8323,no,614,yes,no,
8324,no,-212,yes,yes,
8325,no,590,yes,no,
8326,no,8,yes,no,
8327,no,687,yes,yes,
8328,no,61,yes,yes,
8329,no,-210,yes,yes,
8330,no,1541,yes,no,
8331,no,1342,yes,no,
8332,no,4,yes,no,
8333,no,501,yes,no,
8334,no,128,yes,no,
8335,no,1464,yes,no,
8336,no,6,yes,no,
8337,yes,-369,yes,no,
8338,no,1375,yes,no,
8339,no,0,no,no,
8340,no,4053,yes,no,
8341,no,-286,yes,no,
8342,no,253,yes,no,
8343,no,157,yes,no,
8344,no,1951,yes,no,
8345,no,4519,yes,no,
8346,no,1134,yes,no,
8347,no,426,yes,no,
8348,no,-495,yes,yes,
8349,no,1049,yes,no,
8350,no,463,yes,no,
8351,no,3546,yes,no,
8352,no,1,yes,yes,
8353,no,-239,yes,no,
8354,no,1340,yes,no,
8355,no,772,yes,no,
8356,no,-630,no,no,
8357,no,507,yes,yes,
8358,no,736,yes,no,
8359,no,395,yes,yes,
8360,no,-46,no,no,
8361,no,2599,yes,no,
8362,no,-461,no,no,
8363,no,0,no,no,
8364,no,3643,yes,no,
8365,no,0,yes,no,
8366,no,-141,yes,yes,
8367,no,526,yes,yes,
8368,no,23,yes,no,
8369,no,839,yes,no,
8370,no,-1455,yes,no,
8371,yes,-306,yes,no,
8372,no,655,yes,no,
8373,no,3465,yes,no,
8374,no,876,yes,no,
8375,no,154,yes,no,
8376,no,67,yes,yes,
8377,no,5205,yes,no,
8378,no,5773,no,no,
8379,no,0,yes,yes,
8380,no,1694,yes,yes,
8381,no,1074,yes,no,
8382,no,278,yes,no,
8383,no,1102,yes,no,
8384,no,0,yes,no,
8385,no,0,yes,no,
8386,no,-346,yes,yes,
8387,no,415,no,no,
8388,no,851,no,yes,
8389,no,1247,yes,no,
8390,no,91,yes,no,
8391,no,882,no,no,
8392,no,165,yes,no,
8393,no,1501,yes,no,
8394,no,1529,no,no,
8395,no,293,yes,no,
8396,no,1572,yes,yes,
8397,no,-679,yes,no,
8398,no,497,yes,no,
8399,no,-303,yes,no,
8400,no,9194,yes,no,
8401,no,97,yes,no,
8402,no,70,yes,yes,
8403,no,1839,no,no,
8404,no,1492,yes,no,
8405,no,357,yes,no,
8406,no,192,yes,no,
8407,no,875,yes,yes,
8408,no,0,yes,no,
8409,no,-288,no,no,
8410,no,1581,no,no,
8411,no,2910,yes,no,
8412,no,372,no,no,
8413,no,9,yes,no,
8414,no,1780,yes,no,
8415,no,2665,yes,no,
8416,no,188,yes,no,
8417,no,506,yes,no,
8418,no,38,yes,no,
8419,no,-331,yes,no,
8420,no,31,yes,no,
8421,no,-21,yes,yes,
8422,no,1847,yes,no,
8423,no,208,yes,no,
8424,no,5,yes,no,
8425,no,-848,yes,no,
8426,no,317,yes,no,
8427,no,5779,yes,no,
8428,no,489,yes,no,
8429,yes,4,yes,no,
8430,no,631,yes,no,
8431,no,0,yes,no,
8432,no,3,no,yes,
8433,no,2197,yes,no,
8434,no,178,yes,no,
8435,no,358,yes,no,
8436,no,3144,yes,no,
8437,no,309,yes,no,
8438,no,391,yes,yes,
8439,no,1903,yes,no,
8440,no,1605,yes,no,
8441,no,141,yes,no,
8442,no,-205,yes,no,
8443,no,2150,yes,no,
8444,no,111,yes,no,
8445,no,57,yes,yes,
8446,no,876,yes,no,
8447,yes,2,no,no,
8448,no,-357,yes,no,
8449,no,13849,yes,no,
8450,no,0,no,no,
8451,no,5517,yes,no,
8452,no,5505,yes,no,
8453,no,4707,yes,no,
8454,no,523,yes,no,
8455,yes,-516,yes,no,
8456,no,1878,yes,yes,
8457,no,253,yes,no,
8458,no,471,no,no,
8459,no,-315,yes,no,
8460,no,240,yes,no,
8461,no,1098,yes,no,
8462,no,-211,yes,no,
8463,no,9874,yes,no,
8464,no,1008,yes,no,
8465,no,165,yes,no,
8466,no,3622,yes,yes,
8467,no,92,yes,no,
8468,no,7598,yes,no,
8469,no,0,yes,no,
8470,no,-143,yes,no,
8471,no,540,yes,yes,
8472,no,1495,yes,yes,
8473,no,0,yes,no,
8474,no,3316,yes,no,
8475,no,3,yes,no,
8476,no,387,yes,no,
8477,no,33,no,no,
8478,no,152,yes,no,
8479,no,41,yes,yes,
8480,no,1718,yes,no,
8481,no,-287,yes,no,
8482,no,2317,yes,no,
8483,no,71,yes,no,
8484,no,283,yes,no,
8485,no,-627,yes,no,
8486,no,-216,yes,no,
8487,no,-347,yes,no,
8488,no,199,yes,yes,
8489,no,31,yes,yes,
8490,no,0,yes,no,
8491,no,674,yes,no,
8492,no,-796,yes,yes,
8493,no,470,yes,yes,
8494,no,4063,yes,yes,
8495,no,-372,yes,no,
8496,no,1156,yes,no,
8497,yes,-886,yes,no,
8498,no,-245,no,yes,
8499,no,157,yes,no,
8500,no,510,yes,no,
8501,no,-426,no,yes,
8502,no,-436,yes,no,
8503,no,320,yes,no,
8504,no,0,no,yes,
8505,no,541,yes,no,
8506,no,1337,no,no,
8507,no,-280,yes,no,
8508,no,247,yes,no,
8509,no,-1379,yes,yes,
8510,no,383,yes,yes,
8511,no,-85,yes,yes,
8512,no,0,yes,no,
8513,no,683,yes,yes,
8514,no,295,yes,yes,
8515,no,978,yes,yes,
8516,no,105,yes,no,
8517,no,503,yes,no,
8518,no,-8,yes,no,
8519,no,-396,yes,no,
8520,no,-454,yes,no,
8521,no,-380,yes,no,
8522,no,1098,yes,no,
8523,no,155,yes,no,
8524,no,-54,yes,yes,
8525,no,238,yes,no,
8526,no,106,yes,no,
8527,no,0,yes,no,
8528,no,3888,no,no,
8529,no,-138,yes,no,
8530,no,1728,yes,no,
8531,no,1651,yes,no,
8532,no,0,yes,no,
8533,no,463,no,no,
8534,no,-361,yes,no,
8535,no,-27,yes,no,
8536,no,0,no,no,
8537,no,0,yes,no,
8538,no,-239,yes,no,
8539,no,1182,yes,no,
8540,no,0,yes,no,
8541,no,1262,yes,no,
8542,no,435,yes,no,
8543,no,149,yes,no,
8544,no,241,yes,no,
8545,no,879,yes,no,
8546,no,-171,yes,no,
8547,no,241,yes,yes,
8548,no,103,yes,no,
8549,no,1925,yes,no,
8550,no,-212,yes,yes,
8551,no,-587,yes,no,
8552,no,259,yes,no,
8553,no,19,yes,yes,
8554,no,86,yes,no,
8555,no,214,yes,yes,
8556,no,895,yes,no,
8557,no,145,yes,no,
8558,no,-1701,yes,no,
8559,no,193,yes,no,
8560,no,-255,yes,no,
8561,no,19343,yes,no,
8562,no,0,yes,no,
8563,no,0,no,no,
8564,no,137,no,yes,
8565,no,-170,yes,yes,
8566,no,-342,yes,no,
8567,no,-673,yes,no,
8568,no,193,yes,yes,
8569,no,655,yes,no,
8570,no,25,yes,yes,
8571,no,305,yes,yes,
8572,no,125,yes,no,
8573,no,591,yes,no,
8574,no,537,no,no,
8575,no,-68,yes,yes,
8576,no,-197,yes,no,
8577,no,-538,yes,no,
8578,no,-213,yes,no,
8579,no,340,yes,yes,
8580,no,-694,yes,no,
8581,no,160,yes,no,
8582,no,3284,yes,no,
8583,no,191,yes,no,
8584,no,1252,yes,no,
8585,no,669,yes,no,
8586,no,2064,yes,no,
8587,no,-53,yes,no,
8588,no,-754,yes,yes,
8589,no,89,yes,no,
8590,no,153,yes,yes,
8591,no,788,yes,no,
8592,no,947,yes,no,
8593,no,358,no,no,
8594,no,1395,yes,no,
8595,no,-563,yes,no,
8596,no,97,yes,yes,
8597,yes,-651,yes,yes,
8598,no,101,yes,yes,
8599,no,494,yes,no,
8600,no,902,no,no,
8601,no,527,yes,no,
8602,no,322,yes,no,
8603,no,-606,yes,no,
8604,no,747,yes,no,
8605,no,682,yes,yes,
8606,no,18,no,no,
8607,no,0,yes,no,
8608,no,405,yes,no,
8609,no,298,yes,yes,
8610,no,1595,yes,no,
8611,no,1107,yes,no,
8612,no,682,yes,no,
8613,no,-287,yes,yes,
8614,no,2229,yes,no,
8615,no,7544,yes,no,
8616,no,3429,yes,yes,
8617,no,-204,yes,yes,
8618,no,14,yes,yes,
8619,no,61,yes,no,
8620,no,635,yes,no,
8621,no,0,yes,no,
8622,no,245,yes,no,
8623,no,-476,yes,no,
8624,no,-424,yes,no,
8625,no,-545,yes,yes,
8626,no,9725,yes,no,
8627,no,162,no,no,
8628,no,-175,yes,no,
8629,no,-75,yes,no,
8630,no,695,yes,no,
8631,no,18,yes,no,
8632,no,-473,yes,no,
8633,no,360,yes,no,
8634,no,-367,yes,no,
8635,no,0,yes,no,
8636,no,-72,yes,no,
8637,no,-110,yes,no,
8638,no,-396,yes,no,
8639,no,125,no,no,
8640,no,605,yes,no,
8641,no,880,yes,no,
8642,no,-309,yes,no,
8643,no,1746,yes,no,
8644,no,95,yes,no,
8645,no,48,no,no,
8646,no,569,yes,yes,
8647,no,930,yes,yes,
8648,no,320,yes,yes,
8649,no,258,yes,no,
8650,no,277,yes,no,
8651,no,102,yes,no,
8652,no,93,no,no,
8653,no,21,no,no,
8654,no,2070,yes,yes,
8655,no,96,no,no,
8656,no,2316,yes,no,
8657,no,174,yes,yes,
8658,no,-297,yes,no,
8659,no,-465,no,no,
8660,no,0,yes,no,
8661,no,519,yes,yes,
8662,no,192,yes,no,
8663,no,314,yes,yes,
8664,no,-274,yes,no,
8665,no,283,no,yes,
8666,yes,-1013,yes,no,
8667,no,-376,yes,no,
8668,no,207,yes,no,
8669,no,66,yes,no,
8670,no,1573,yes,no,
8671,no,5,yes,no,
8672,no,7216,yes,no,
8673,no,-330,yes,yes,
8674,no,2619,yes,no,
8675,no,138,no,no,
8676,no,-236,yes,no,
8677,no,764,no,no,
8678,no,-45,yes,no,
8679,no,1257,yes,no,
8680,no,3311,yes,yes,
8681,no,1185,yes,no,
8682,no,0,yes,no,
8683,no,-452,yes,no,
8684,no,-446,yes,no,
8685,no,265,yes,no,
8686,no,293,yes,no,
8687,no,-305,yes,no,
8688,no,690,yes,no,
8689,no,2720,yes,no,
8690,no,-140,yes,no,
8691,no,1256,no,no,
8692,no,620,yes,no,
8693,no,-95,yes,yes,
8694,no,1,yes,no,
8695,no,354,yes,no,
8696,no,494,yes,no,
8697,no,116,yes,no,
8698,no,476,yes,yes,
8699,no,791,yes,no,
8700,no,53,yes,no,
8701,no,-1026,yes,no,
8702,no,316,yes,no,
8703,no,457,yes,yes,
8704,no,-556,yes,yes,
8705,no,2,yes,yes,
8706,no,0,yes,yes,
8707,no,484,yes,no,
8708,no,200,yes,no,
8709,no,-415,yes,no,
8710,no,899,yes,no,
8711,no,205,no,no,
8712,no,241,yes,no,
8713,no,473,yes,yes,
8714,no,529,yes,yes,
8715,no,187,yes,no,
8716,no,217,yes,no,
8717,no,984,yes,no,
8718,no,27,yes,no,
8719,no,-99,no,yes,
8720,no,3,yes,no,
8721,no,189,yes,no,
8722,no,54,yes,yes,
8723,no,302,yes,no,
8724,no,2287,yes,no,
8725,no,-88,yes,no,
8726,no,291,yes,no,
8727,no,77,yes,no,
8728,no,-68,yes,no,
8729,no,504,yes,no,
8730,no,-579,yes,no,
8731,no,381,yes,no,
8732,no,-498,yes,yes,
8733,no,501,no,no,
8734,no,-196,yes,yes,
8735,no,5284,yes,no,
8736,no,105,yes,no,
8737,no,283,yes,no,
8738,no,-566,yes,no,
8739,no,-576,yes,no,
8740,no,0,yes,no,
8741,no,-167,yes,no,
8742,no,0,yes,no,
8743,no,-256,yes,no,
8744,no,1640,yes,no,
8745,no,1492,yes,no,
8746,no,0,no,no,
8747,no,1928,yes,no,
8748,no,23,yes,no,
8749,no,-476,yes,no,
8750,no,437,yes,no,
8751,no,-247,yes,no,
8752,no,-921,yes,no,
8753,no,-158,no,no,
8754,no,-800,yes,no,
8755,no,517,yes,no,
8756,no,-199,no,no,
8757,no,175,yes,no,
8758,no,283,yes,no,
8759,no,74,yes,no,
8760,no,1693,yes,no,
8761,no,-307,yes,yes,
8762,no,0,no,no,
8763,no,607,yes,no,
8764,no,328,no,no,
8765,no,494,yes,no,
8766,no,1746,yes,no,
8767,no,1050,yes,no,
8768,no,198,yes,no,
8769,no,-502,yes,yes,
8770,no,-626,yes,no,
8771,no,104,yes,no,
8772,no,-91,yes,no,
8773,no,21111,yes,no,
8774,no,460,yes,no,
8775,no,526,no,no,
8776,no,-69,yes,no,
8777,no,1032,yes,no,
8778,no,-140,yes,no,
8779,no,6,yes,no,
8780,no,306,no,no,
8781,no,1024,yes,no,
8782,no,975,yes,no,
8783,no,1327,yes,yes,
8784,no,626,yes,no,
8785,no,-93,yes,no,
8786,no,442,yes,no,
8787,no,1449,no,no,
8788,no,-544,yes,yes,
8789,no,-69,yes,no,
8790,no,1785,yes,no,
8791,no,-94,yes,no,
8792,no,941,yes,no,
8793,yes,-204,yes,no,
8794,no,480,yes,no,
8795,no,1145,yes,no,
8796,no,782,yes,no,
8797,no,339,yes,no,
8798,no,4587,no,no,
8799,no,1050,yes,no,
8800,yes,1147,yes,yes,
8801,no,879,yes,no,
8802,no,0,yes,no,
8803,no,0,no,no,
8804,no,974,yes,no,
8805,yes,-614,yes,no,
8806,no,252,yes,yes,
8807,no,953,yes,no,
8808,no,5888,yes,no,
8809,no,129,yes,no,
8810,no,5880,yes,no,
8811,no,403,yes,no,
8812,no,1265,yes,yes,
8813,no,685,yes,no,
8814,no,-901,yes,no,
8815,no,99,yes,no,
8816,no,541,yes,no,
8817,no,3057,yes,no,
8818,no,343,yes,no,
8819,no,479,yes,no,
8820,no,2697,yes,yes,
8821,no,66,yes,no,
8822,no,303,yes,yes,
8823,no,168,yes,no,
8824,no,-196,yes,no,
8825,no,0,yes,no,
8826,no,-213,yes,yes,
8827,no,4436,yes,no,
8828,no,27,yes,yes,
8829,no,1612,yes,no,
8830,no,87,yes,no,
8831,no,9894,yes,no,
8832,no,4030,yes,no,
8833,no,339,yes,no,
8834,no,-215,yes,no,
8835,no,26,yes,yes,
8836,no,-220,yes,no,
8837,no,440,yes,no,
8838,no,25,no,no,
8839,no,0,yes,no,
8840,no,-152,yes,yes,
8841,no,-22,yes,no,
8842,no,685,yes,no,
8843,no,-367,yes,yes,
8844,no,289,yes,no,
8845,no,1414,yes,no,
8846,no,-421,yes,no,
8847,no,607,yes,no,
8848,no,576,yes,yes,
8849,no,365,no,no,
8850,no,1209,yes,no,
8851,no,5151,yes,yes,
8852,no,448,yes,no,
8853,no,0,no,no,
8854,no,1464,yes,yes,
8855,no,36,yes,no,
8856,no,4110,yes,no,
8857,no,901,yes,no,
8858,no,314,yes,no,
8859,no,306,yes,no,
8860,no,1037,yes,no,
8861,no,-571,yes,yes,
8862,no,96,yes,yes,
8863,no,-376,yes,no,
8864,no,445,yes,no,
8865,no,60,yes,no,
8866,no,823,no,no,
8867,no,-551,yes,yes,
8868,no,0,yes,yes,
8869,no,23,yes,no,
8870,no,70,yes,no,
8871,no,474,yes,yes,
8872,no,3201,yes,no,
8873,no,4,yes,no,
8874,no,0,yes,no,
8875,no,-186,yes,no,
8876,no,159,yes,no,
8877,no,452,yes,no,
8878,no,61,yes,no,
8879,no,6575,yes,no,
8880,no,2294,yes,no,
8881,no,39,yes,no,
8882,no,392,yes,yes,
8883,no,-358,yes,no,
8884,no,1255,yes,yes,
8885,no,-271,yes,yes,
8886,no,-382,yes,no,
8887,no,2805,yes,no,
8888,no,229,no,no,
8889,no,0,yes,no,
8890,no,2366,yes,no,
8891,no,4716,yes,no,
8892,no,1631,yes,no,
8893,no,3344,yes,no,
8894,no,-331,yes,yes,
8895,no,108,yes,no,
8896,no,337,yes,no,
8897,no,553,yes,no,
8898,no,3532,yes,no,
8899,no,2065,yes,yes,
8900,no,133,yes,no,
8901,no,72,yes,no,
8902,no,278,yes,no,
8903,no,2085,yes,no,
8904,no,247,yes,yes,
8905,no,1,yes,yes,
8906,no,6471,yes,yes,
8907,no,-4,no,no,
8908,no,77,yes,no,
8909,no,639,yes,no,
8910,no,-870,yes,no,
8911,no,-63,yes,no,
8912,no,-1379,yes,no,
8913,no,4131,yes,no,
8914,no,-281,yes,no,
8915,no,9,yes,no,
8916,no,-463,yes,no,
8917,no,3935,yes,yes,
8918,no,35,yes,yes,
8919,no,51,no,no,
8920,no,0,yes,no,
8921,no,7137,yes,no,
8922,no,0,yes,no,
8923,no,109,yes,no,
8924,no,-157,yes,no,
8925,no,226,no,no,
8926,no,6758,yes,yes,
8927,no,-185,yes,no,
8928,no,48,no,no,
8929,no,1353,yes,no,
8930,no,3,yes,no,
8931,no,429,yes,no,
8932,no,134,yes,yes,
8933,no,-15,no,no,
8934,no,208,yes,no,
8935,no,27,yes,no,
8936,no,-222,yes,no,
8937,no,91,no,no,
8938,no,612,yes,no,
8939,no,5455,yes,no,
8940,no,1307,yes,no,
8941,no,4038,yes,yes,
8942,no,2776,yes,no,
8943,no,0,yes,no,
8944,no,0,yes,no,
8945,no,1016,yes,no,
8946,no,87,yes,no,
8947,no,508,yes,no,
8948,no,351,yes,no,
8949,no,352,yes,yes,
8950,no,203,yes,no,
8951,no,189,yes,no,
8952,no,293,yes,no,
8953,no,-197,yes,no,
8954,no,489,yes,no,
8955,no,-124,yes,no,
8956,no,150,yes,yes,
8957,no,-185,yes,yes,
8958,no,74,yes,yes,
8959,no,653,yes,no,
8960,no,737,yes,yes,
8961,no,-92,yes,no,
8962,no,132,no,no,
8963,no,-119,yes,no,
8964,no,92,yes,no,
8965,no,-215,yes,no,
8966,no,-849,yes,yes,
8967,no,32,yes,no,
8968,no,214,yes,no,
8969,no,3160,yes,no,
8970,yes,0,yes,no,
8971,no,-1500,yes,no,
8972,no,876,no,no,
8973,no,-124,no,no,
8974,no,8,yes,no,
8975,no,3517,yes,no,
8976,no,46,yes,no,
8977,no,-725,yes,no,
8978,no,810,yes,no,
8979,no,-50,yes,no,
8980,no,-21,yes,no,
8981,no,473,yes,no,
8982,no,-24,yes,no,
8983,no,-302,yes,no,
8984,no,557,yes,yes,
8985,yes,-238,yes,no,
8986,no,-106,yes,no,
8987,no,-44,yes,no,
8988,no,373,yes,no,
8989,no,535,yes,yes,
8990,no,169,yes,no,
8991,no,372,yes,no,
8992,no,-1040,yes,yes,
8993,no,836,yes,no,
8994,no,17,yes,no,
8995,no,-634,yes,yes,
8996,no,-131,yes,yes,
8997,no,326,yes,no,
8998,no,0,yes,yes,
8999,no,57,yes,no,
9000,no,-268,yes,no,
9001,no,115,no,no,
9002,no,-26,yes,no,
9003,no,-371,yes,no,
9004,no,4388,yes,no,
9005,no,-335,yes,no,
9006,no,3154,yes,yes,
9007,no,-458,no,no,
9008,no,1475,yes,no,
9009,no,-330,yes,yes,
9010,no,-417,yes,no,
9011,no,0,yes,no,
9012,no,408,yes,no,
9013,no,110,yes,no,
9014,no,-294,yes,no,
9015,no,-61,yes,no,
9016,no,23,yes,no,
9017,no,3087,yes,yes,
9018,no,-187,yes,yes,
9019,no,146,no,no,
9020,no,939,yes,no,
9021,no,1217,yes,no,
9022,no,-11,yes,no,
9023,no,-69,yes,no,
9024,no,-212,yes,no,
9025,no,345,yes,no,
9026,no,356,yes,no,
9027,no,-663,yes,no,
9028,no,-482,yes,no,
9029,no,991,yes,no,
9030,no,501,yes,yes,
9031,no,256,no,no,
9032,no,-48,yes,no,
9033,no,1641,yes,no,
9034,no,818,yes,no,
9035,no,154,yes,no,
9036,no,-641,yes,yes,
9037,no,219,yes,no,
9038,no,1867,yes,yes,
9039,no,910,yes,yes,
9040,no,34,yes,no,
9041,no,712,yes,no,
9042,no,0,yes,no,
9043,no,168,no,no,
9044,no,1025,yes,no,
9045,no,457,yes,yes,
9046,no,109,yes,no,
9047,no,-44,yes,no,
